Title,Date Posted,Employer,Location,Salary,Work Hours,Employment Type,Start Date,Vacancies,Languages,Education,Experience,Responsibilities,Benefits,Valid Through,url
"instructor, sailing","Posted on February 05, 2024",Club Multivoile 4 Saisons,"Trois-Rivières, QC","1,575 WEEKLY",35 hours per week,Seasonal employmentFull time,,2 vacancies,French,,,,"Free parking available, On-site amenities, On-site housing options, On-site recreation and activities",4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40203835?source=searchresults
sales clerk,"Posted on March 21, 2024",BOULANGERIE LE FOURNAND INC.,"Percé, QC",15.75 HOUR,40 hours per week,Seasonal employmentFull time,,1 vacancy,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40654988?source=searchresults
customer service assistant,"Posted on March 27, 2024",Option Subaru,"Québec, QC",20.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40637184?source=searchresults
accountants supervisor,"Posted on March 10, 2024",Element RH,"Rivière-du-Loup, QC","70,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/8/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40472157?source=searchresults
dental assistant,"Posted on March 28, 2024",CENTRE DENTAIRE SAINT-NICOLAS INC.,"Saint-Nicolas, QC",20.00 HOUR,15 hours per week,Permanent employmentPart time leading to full time,,1 vacancy,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40645947?source=searchresults
nail care technician,"Posted on January 10, 2024",LES ONGLES MODERNES,"Gatineau, QC",20.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,English or French,Secondary (high) school graduation certificate,1 year to less than 2 years,"Make custom designs for clients, Designing traditional tattoos, Apply or remove artificial nails and nail art, Clean, trim and polish nails, Provide gel and acrylic nail extensions, Manicures, Pedicures, Provide customer service","Other benefits, Parking available, Variable or compressed work week",4/21/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/39993319?source=searchresults
"broker, insurance","Posted on March 10, 2024",DIANE EGAN LANGEVIN EMPLOI RECRUTEMENT ET ASSOCIÉS INC.,"Lac-Mégantic, QC","55,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/8/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40472301?source=searchresults
heavy equipment mechanic,"Posted on March 18, 2024",Gestion Gérard Boutin inc.,"Saint-Jacques, QC",27.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/16/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40544139?source=searchresults
kitchen manager,"Posted on March 27, 2024",Kinton Ramen Brossard,"Brossard, QC",20.00 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,2 vacancies,English or French,Secondary (high) school graduation certificate,2 years to less than 3 years,"Establish methods to meet work schedules, Supervise and co-ordinate activities of staff who prepare and portion food, Train staff in job duties, sanitation and safety procedures, Estimate ingredient and supplies required for meal preparation, Hire food service staff, Ensure that food and service meet quality control standards, Prepare budget and cost estimates, Maintain records of stock, repairs, sales and wastage, Prepare and submit reports, Establish work schedules, Cook (general), Food and beverage servers, Kitchen and food service helpers, 16-20 people","Dental plan, Health care plan, Bonus, Group insurance benefits, Life insurance",4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40641313?source=searchresults
food store manager,"Posted on March 11, 2024",MARCHE ST-PIERRE ET FILS INC.,"Thetford Mines, QC",17.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/20/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40480788?source=searchresults
welder-assembler,"Posted on March 15, 2024",Vohl inc.,"Saint-Marc-des-Carrières, QC",18.29 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40520328?source=searchresults
"bench worker, ophthalmic goods","Posted on March 06, 2024",CRSSSBJ Centre régional de santé et de services sociaux de la Baie-James,"Chibougamau, QC",22.54 HOUR,,Term or contract,Starts as soon as possible,1 vacancy,,,,,,4/4/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40437531?source=searchresults
cook,"Posted on March 01, 2024",7514476 CANADA INC,"Gatineau, QC",20.04 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,3/31/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40402888?source=searchresults
"handler, materials","Posted on March 08, 2024",Pyradia,"Saint-Hubert, QC",21.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40462301?source=searchresults
psychoeducator,"Posted on March 26, 2024",CRSSSBJ Centre régional de santé et de services sociaux de la Baie-James,"Chibougamau, QC",27.08 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40620911?source=searchresults
civil engineering technician,"Posted on March 11, 2024",VILLE DE PRINCEVILLE,"Princeville, QC","64,563 YEAR",35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/1/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40481366?source=searchresults
certified dental technician,"Posted on March 19, 2024",Carrière Dentaire,"Westmount, QC",25.10 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,5/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40560917?source=searchresults
civil emergency measures officer,"Posted on March 28, 2024",CISSS de l'Abitibi-Témiscamingue,"Rouyn-Noranda, QC",27.08 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40644254?source=searchresults
construction estimator,"Posted on February 28, 2024",LAVALLEE &amp; FRERES (1959) LTEE,"Laval, QC","85,000 YEAR",40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,3/31/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40387910?source=searchresults
production worker - furniture manufacturing,"Posted on March 13, 2024",Canevas Design inc.,"Sainte-Thérèse, QC",18.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/11/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40501152?source=searchresults
housekeeping attendant,"Posted on March 28, 2024",MAINTENANCE EUREKA LTEE,"Sainte-Marie, QC",20.57 HOUR,17.5 hours per week,Permanent employmentPart time,,1 vacancy,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40647715?source=searchresults
zipline guide,"Posted on March 11, 2024",Keven Hatotte,"Drummondville, QC",16.75 HOUR,30 hours per week,Seasonal employmentPart time leading to full time,,4 vacancies,,,,,,4/5/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40480780?source=searchresults
"installer, window shades","Posted on March 26, 2024",CONFECTION INDUSTRIELLE DE TILLY INC.,"Montréal, QC",23 BIWEEKLY,36 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/2/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40632185?source=searchresults
"clerk, room - hotel","Posted on March 22, 2024",1006823 B.C. LTD.,"Tadoussac, QC",635 WEEKLY,40 hours per week,Seasonal employmentFull time,,3 vacancies,,,,,,4/2/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40589763?source=searchresults
electrical mechanic,"Posted on March 21, 2024",Pont Roulant Protech Inc.,"Saint-Jérôme, QC",24.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40574520?source=searchresults
housekeeping attendant,"Posted on March 13, 2024",Transport Gaston Nadeau inc.,"Sainte-Mélanie, QC",18.00 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,French,"No degree, certificate or diploma",1 year to less than 2 years,,"Group insurance benefits, Life insurance, Free parking available, Other benefits, Travel insurance",4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40500249?source=searchresults
community organizer,"Posted on March 24, 2024",CISSS de l'Abitibi-Témiscamingue,"La Sarre, QC",27.08 HOUR,,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/22/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40604586?source=searchresults
RN (registered nurse),"Posted on March 15, 2024",CISSS DE LA MONTÉRÉGIE-EST,"Saint-Hyacinthe, QC",25.81 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40527854?source=searchresults
nanny,"Posted on February 07, 2024",Ming Zheng Liu,"Brossard, QC",15.25 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,Secondary (high) school graduation certificate,1 year to less than 2 years,"Perform light housekeeping and cleaning duties, Wash, iron and press clothing and household linens, Bathe, dress and feed infants and children, Discipline children according to the methods requested by the parents, Instruct children in personal hygiene and social development, Keep records of daily activities and health information regarding children, Maintain a safe and healthy environment in the home, Organize, activities such as games and outings for children, Prepare infants and children for rest periods, Supervise and care for children, Tend to emotional well-being of children, Help children with homework",Health care plan,4/6/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40225381?source=searchresults
city planner,"Posted on March 19, 2024",MUNICIPALITE DE LA PAROISSE DE SAINT-LEANDRE,"Saint-Léandre, QC",25.00 HOUR,8 hours per week,Permanent employmentPart time,,1 vacancy,,,,,,4/20/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40564089?source=searchresults
zipper repairer,"Posted on March 29, 2024",Lignum Veneer,"Victoriaville, QC",20.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/27/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40655181?source=searchresults
babysitter,"Posted on January 26, 2024",Sarah Harrouch,"Cote-Saint-Luc, QC",15.25 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English or French,Secondary (high) school graduation certificate,1 year to less than 2 years,"Assume full responsibility for household in absence of parents, Perform light housekeeping and cleaning duties, Wash, iron and press clothing and household linens, Maintain a safe and healthy environment in the home, Prepare and serve nutritious meals, Supervise and care for children",,4/15/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40122856?source=searchresults
medical orderly,"Posted on March 20, 2024",Château Shawinigan S.E.C,"Shawinigan, QC",16.65 HOUR,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,French,Other trades certificate or diploma,1 to less than 7 months,"Take patients' blood pressure, temperature and pulse, Serve meal trays and feed patients, Weigh, lift, turn and position patients, Make beds and maintain patients' rooms, Bathe, dress and groom patients, Transport patients between care facilities, Administer first aid in emergency situations","Vision care benefits, As per collective agreement, Bonus, Night shift premium, Free parking available, Learning/training paid by employer, Paid time off (volunteering or personal days)",4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40571142?source=searchresults
bingo caller,"Posted on March 17, 2024",Proludik inc.,"Québec, QC",16.50 HOUR,,Seasonal employmentFull time,Starts as soon as possible,15 vacancies,,,,,,4/15/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40538784?source=searchresults
awning installer,"Posted on March 27, 2024",Cuisine New Zone,"Lévis, QC",30.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40640781?source=searchresults
Web designer,"Posted on January 09, 2024",Certo Solutions Inc.,"Montréal, QC",28.25 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English,"College, CEGEP or other non-university certificate or diploma from a program of 1 year to 2 years",1 year to less than 2 years,"Confer with clients to identify requirements, Consult with clients to develop and document Website requirements, Source, select and organize information for inclusion and design the appearance, layout and flow of the Website, Assess physical and technical security risks to data, software and hardware, Create and optimize content for Website using a variety of graphics, database, animation and other software, Lead and co-ordinate multidisciplinary teams to develop Website graphics, content, capacity and interactivity, Plan, design, write, modify, integrate and test Web-site related code, Usability testing, Consult with clients after sale to provide ongoing support",,4/22/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/39986697?source=searchresults
industrial painter,"Posted on March 18, 2024",Réservoirs Després,"Val-Alain, QC",20.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/16/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40550339?source=searchresults
farm hand - livestock,"Posted on March 06, 2024",Centre d'emploi agricole de Lanaudière (voir nom de l'employeur dans titre du poste),"Joliette, QC",20.00 HOUR,30 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40438495?source=searchresults
"technician, loom - textile manufacturing","Posted on March 28, 2024",Fed Ingénierie,"Dollard-des-Ormeaux, QC","60,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40649881?source=searchresults
administrative assistant,"Posted on March 21, 2024",ECOLE TRILINGUE VISION        RIVIERE-DU-LOUP,"Rivière-du-Loup, QC",21.00 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40578600?source=searchresults
human resources management consultant,"Posted on March 05, 2024",Ministère de la Cybersécurité et du Numérique,"Québec, QC",23.78 HOUR,14 hours per week,Casual employmentPart time leading to full time,,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40428212?source=searchresults
child care provider - private home,"Posted on January 26, 2024",LS+FL - Private home,"Saint-Jean-sur-Richelieu, QC",15.25 HOUR,32 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English or French,Secondary (high) school graduation certificate,1 year to less than 2 years,"Assume full responsibility for household in absence of parents, Perform light housekeeping and cleaning duties, Wash, iron and press clothing and household linens, Discipline children according to the methods requested by the parents, Instruct children in personal hygiene and social development, Maintain a safe and healthy environment in the home, Organize, activities such as games and outings for children, Prepare and serve nutritious meals, Supervise and care for children, Tend to emotional well-being of children",,4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40126764?source=searchresults
administration officer,"Posted on March 28, 2024","Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et Parcs","Québec, QC",18.65 HOUR,35 hours per week,Casual employmentFull time,,1 vacancy,,,,,,4/7/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40649375?source=searchresults
clean-up crew worker,"Posted on March 27, 2024",NETTOYAGE BEAUCHAMP.NET,"Blainville, QC",20.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/27/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40639553?source=searchresults
interpretive guide - museum,"Posted on March 13, 2024",MOULIN LA LORRAINE,"Lac-Etchemin, QC",17.25 BIWEEKLY,35 hours per week,Seasonal employmentFull time,,2 vacancies,,,,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40503786?source=searchresults
merchandiser,"Posted on March 03, 2024",PepsiCo Canada,"Laval, QC",18.00 HOUR,,Part time,Starts as soon as possible,3 vacancies,,,,,,4/1/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40414055?source=searchresults
accounts payable clerk,"Posted on March 19, 2024",Deschênes et Fils Ltée (division de Québec),"Québec, QC",22.67 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40560426?source=searchresults
automobile mechanic,"Posted on March 25, 2024",Services Mécaniques JPB inc.,"Rimouski, QC",880 WEEKLY,40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,French,"Other trades certificate or diploma

or equivalent experience",5 years or more,"Inspect and test mechanical units to locate faults and malfunctions, Inspect motor in operation, road test motor vehicles and test automotive systems and components, Adjust, repair or replace parts and components of automotive systems, Diagnose faults and malfunctions, Repair or replace mechanical units or components, Perform scheduled maintenance service, Test and adjust units to specifications, Complete reports to record problems and work performed","Dental plan, Disability benefits, Health care plan, Group insurance benefits, Learning/training paid by employer",4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40613469?source=searchresults
construction technician - civil engineering,"Posted on March 07, 2024",LES ENTREPRISES NKP INC.,"Québec, QC",21.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/15/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40452548?source=searchresults
human relations officer - family therapy,"Posted on March 25, 2024",CRSSSBJ Centre régional de santé et de services sociaux de la Baie-James,"Lebel-sur-Quévillon, QC",27.08 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/23/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40610300?source=searchresults
human resources clerk,"Posted on March 28, 2024",Université TÉLUQ,"Québec, QC",24.73 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40646356?source=searchresults
cook,"Posted on March 06, 2024",Hôtel & Spa Le Germain Charlevoix,"Baie-Saint-Paul, QC",19.51 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,English or French,"Secondary (high) school graduation certificate

or equivalent experience",1 to less than 7 months,"Prepare and cook complete meals or individual dishes and foods, Prepare dishes for customers with food allergies or intolerances, Prepare and cook special meals for patients as instructed by dietitian or chef, Inspect kitchens and food service areas, Maintain inventory and records of food, supplies and equipment, Clean kitchen and work areas","Dental plan, Disability benefits, Health care plan, Paramedical services coverage, Vision care benefits, As per collective agreement, Free parking available, Wellness program",4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40441634?source=searchresults
automation technologist,"Posted on March 27, 2024",Fed Ingénierie,"Salaberry-de-Valleyfield, QC","75,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40638297?source=searchresults
psychoeducator,"Posted on March 28, 2024",CENTRE INTÉGRÉ UNIVERSITAIRE DE SANTÉ ET DE SERVICES SOCIAUX DE LA MAURICIE-ET-DU-CENTRE-DU-QUÉBEC,"Victoriaville, QC",27.08 HOUR,35 hours per week,Term or contractFull time,,5 vacancies,,,,,,4/21/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40646870?source=searchresults
cook,"Posted on March 04, 2024",CRSSSBJ Centre régional de santé et de services sociaux de la Baie-James,"Chibougamau, QC",26.57 HOUR,,Term or contractPart time,Starts as soon as possible,1 vacancy,,,,,,4/2/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40417280?source=searchresults
dental assistant,"Posted on March 12, 2024",Carrière Dentaire,"Saint-Hubert, QC",26.50 HOUR,36 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/26/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40492643?source=searchresults
administrative assistant,"Posted on March 05, 2024",GROUPE LD INC.,"Québec, QC",21.00 HOUR,37 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,3/31/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40430778?source=searchresults
journalist,"Posted on February 29, 2024",Trium Médias,"Dolbeau-Mistassini, QC",20.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40424422?source=searchresults
maintenance joiner,"Posted on March 15, 2024",Cégep de Sainte-Foy,"Québec, QC",25.63 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40527332?source=searchresults
materials testing technician,"Posted on March 06, 2024",Groupe GÉOS inc.,"Saguenay, QC",26.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/4/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40437571?source=searchresults
landscape worker,"Posted on March 07, 2024",LES SERVICES PAYSAGERS S.     MASSON INC.,"Saint-Basile-le-Grand, QC",20.00 HOUR,40 hours per week,Seasonal employmentFull time,,2 vacancies,,,,,,4/13/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40452573?source=searchresults
legal secretary,"Posted on March 18, 2024",Réseau d?aide juridique,"Saguenay, QC","42,315 YEAR",,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/16/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40547316?source=searchresults
sales administrator,"Posted on March 19, 2024",Fastenal,"Victoriaville, QC","45,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/17/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40560236?source=searchresults
"adjudicator, labour","Posted on March 26, 2024",Stratéjia,"Québec, QC","63,500 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/24/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40627601?source=searchresults
office administrator,"Posted on March 18, 2024",Institut national de la recherche scientifique,"Québec, QC",24.47 HOUR,,Term or contractFull time,Starts as soon as possible,1 vacancy,,,,,,4/16/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40550556?source=searchresults
"broker, insurance","Posted on March 29, 2024",DIANE EGAN LANGEVIN EMPLOI RECRUTEMENT ET ASSOCIÉS INC.,"Longueuil, QC","65,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/27/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40655087?source=searchresults
nursing services aide,"Posted on March 15, 2024",CISSS DE LA MONTÉRÉGIE-EST,"Saint-Hyacinthe, QC",26.66 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/3/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40525111?source=searchresults
"pallet maker, wood","Posted on March 20, 2024",PALETTES PERRON INC.,"Cookshire-Eaton, QC",16 WEEKLY,40 hours per week,Permanent employmentFull time,,2 vacancies,,,,,,5/1/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40568709?source=searchresults
dressmaker,"Posted on March 22, 2024",AGENCE PRO-SOURCE INC.,"Saint-Zotique, QC",21.00 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/20/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40593928?source=searchresults
assistant chef,"Posted on March 18, 2024",Ermitage Saint-Antoine,"Lac-Bouchette, QC",25.16 HOUR,,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/16/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40550378?source=searchresults
electrician,"Posted on March 15, 2024",Humakare,"Montréal-Nord, QC",30.00 HOUR,38.75 hours per week,Term or contractFull time,,10 vacancies,,,,,,4/15/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40525086?source=searchresults
house cleaner,"Posted on March 18, 2024",Nettoyage Krystal Clean,"Laval, QC",900 WEEKLY,,Full time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40549049?source=searchresults
"consultant, fashion","Posted on December 08, 2023",Salon Éléganza Gatineau Inc.,"Gatineau, QC",15.25 HOUR,15 to 40 hours per week,Permanent employmentPart time leading to full time,Starts as soon as possible,2 vacancies,French,"No degree, certificate or diploma",Will train,,"Disability benefits, Health care plan, Paramedical services coverage, Vision care benefits, Commission, Life insurance, Registered Retirement Savings Plan (RRSP), Long-term care insurance, Free parking available, Learning/training paid by employer, On-site recreation and activities, Other benefits, Team building opportunities, Parking available, Travel insurance",4/6/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/39748413?source=searchresults
pizza cook,"Posted on March 15, 2024",Pizza Salvatore SJC,"Saint-Jean-Chrysostome, QC",15.50 HOUR,30 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,1 vacancy,French,"No degree, certificate or diploma",Experience an asset,"Prepare and cook complete meals or individual dishes and foods, Prepare dishes for customers with food allergies or intolerances, Inspect kitchens and food service areas, Clean kitchen and work areas","Gratuities, Free parking available",4/14/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40524174?source=searchresults
sales administrator,"Posted on March 27, 2024",Aleanza Recrutement Durable,"Québec, QC","60,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/25/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40641088?source=searchresults
merchandiser,"Posted on March 03, 2024",PepsiCo Canada,"Saint-Eustache, QC",18.00 HOUR,,Part time,Starts as soon as possible,3 vacancies,,,,,,4/1/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40413885?source=searchresults
construction worker,"Posted on March 29, 2024",Groupe Efficace 2.0,"La Prairie, QC",25.00 HOUR,,Permanent employmentFull time,Starts as soon as possible,3 vacancies,,,,,,4/27/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40655336?source=searchresults
OT (occupational therapist),"Posted on March 06, 2024",Groupe Champlain inc.,"Saint-Georges, QC",27.46 HOUR,,Permanent employmentPart time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40531007?source=searchresults
graphic artist,"Posted on March 18, 2024",9018-4912 QUEBEC INC.,"Châteauguay, QC",18 WEEKLY,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/30/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40548728?source=searchresults
"driver, truck","Posted on March 15, 2024",Le Groupe Consilium Rh & Relations de travail,"Trois-Rivières, QC","60,000 YEAR",40 hours per week,Permanent employmentFull time,,2 vacancies,,,,,,4/21/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40523828?source=searchresults
receptionist-secretary,"Posted on February 28, 2024","PILON & MENARD, HUISSIERS DE  JUSTICE INC.","Sainte-Agathe-des-Monts, QC",20.00 HOUR,35 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/10/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40387611?source=searchresults
customer service assistant,"Posted on March 20, 2024",MICHAEL ROSSY LTEE,"Beauceville, QC",15.75 HOUR,40 hours per week,Permanent employmentFull time,,1 vacancy,,,,,,4/12/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40568880?source=searchresults
inside sales representative,"Posted on March 07, 2024",Ameta Payment Solutions,"Pointe-Claire, QC","40,000 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,,https://www.jobbank.gc.ca/jobsearch/jobposting/40450647?source=searchresults
registration clerk,"Posted on March 20, 2024",Jonview,"Montréal, QC","40,000 YEAR",,Term or contractFull time,,1 vacancy,,,,,,4/19/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40568099?source=searchresults
administration officer,"Posted on March 18, 2024",MINISTÈRE DE LA SECURITE PUBLIQUE,"Matapédia, QC",18.75 HOUR,35 hours per week,Casual employmentFull time,,1 vacancy,,,,,,4/1/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40549909?source=searchresults
biochemistry laboratory technician,"Posted on March 25, 2024",Minister of Public Security,"Montréal, QC","42,900 YEAR",,Permanent employmentFull time,Starts as soon as possible,1 vacancy,,,,,,4/23/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40616816?source=searchresults
assistant waiter/waitress - food and beverage services,"Posted on March 22, 2024",Subway Deux Montagnes,"Deux-Montagnes, QC",15.25 HOUR,35 to 40 hours per week,Permanent employmentFull time,Starts as soon as possible,5 vacancies,French,"No degree, certificate or diploma",Experience an asset,,Gratuities,4/21/2024,https://www.jobbank.gc.ca/jobsearch/jobposting/40589081?source=searchresults
